Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Cuba,Latin America and the Caribbean,Americas,2000-12-25,2000-12-25
Drought,Cuba,Latin America and the Caribbean,Americas,2000-08-07,2001-08-31
Storm,Cuba,Latin America and the Caribbean,Americas,2001-11-04,2001-11-04
Flood,Cuba,Latin America and the Caribbean,Americas,2002-06-12,2002-06-22
Storm,Cuba,Latin America and the Caribbean,Americas,2002-09-18,2002-09-18
Storm,Cuba,Latin America and the Caribbean,Americas,2002-10-01,2002-10-01
Flood,Cuba,Latin America and the Caribbean,Americas,2003-04-15,2003-04-17
Storm,Cuba,Latin America and the Caribbean,Americas,2004-08-14,2004-08-14
Storm,Cuba,Latin America and the Caribbean,Americas,2004-09-13,2004-09-14
Drought,Cuba,Latin America and the Caribbean,Americas,2004-08-07,2004-08-31
Storm,Cuba,Latin America and the Caribbean,Americas,2005-07-08,2005-07-09
Storm,Cuba,Latin America and the Caribbean,Americas,2005-10-19,2005-10-24
Storm,Cuba,Latin America and the Caribbean,Americas,2006-06-11,2006-06-11
Flood,Cuba,Latin America and the Caribbean,Americas,2006-06-08,2006-06-08
Storm,Cuba,Latin America and the Caribbean,Americas,2007-08-20,2007-08-20
Flood,Cuba,Latin America and the Caribbean,Americas,2007-10-07,2007-10-17
Storm,Cuba,Latin America and the Caribbean,Americas,2007-10-28,2007-11-02
Storm,Cuba,Latin America and the Caribbean,Americas,2008-08-20,2008-08-20
Storm,Cuba,Latin America and the Caribbean,Americas,2008-08-29,2008-09-01
Storm,Cuba,Latin America and the Caribbean,Americas,2008-09-08,2008-09-09
Storm,Cuba,Latin America and the Caribbean,Americas,2008-11-08,2008-11-08
Flood,Cuba,Latin America and the Caribbean,Americas,2008-11-17,2008-11-20
Flood,Cuba,Latin America and the Caribbean,Americas,2012-05-24,2012-05-27
Storm,Cuba,Latin America and the Caribbean,Americas,2012-08-25,2012-08-25
Storm,Cuba,Latin America and the Caribbean,Americas,2012-10-22,2012-10-22
Flood,Cuba,Latin America and the Caribbean,Americas,2013-12-01,2013-12-08
Flood,Cuba,Latin America and the Caribbean,Americas,2015-04-30,2015-04-30
Drought,Cuba,Latin America and the Caribbean,Americas,2015-05-01,2015-06-23
Storm,Cuba,Latin America and the Caribbean,Americas,2016-09-28,2016-10-07
Storm,Cuba,Latin America and the Caribbean,Americas,2017-09-08,2017-09-10
Storm,Cuba,Latin America and the Caribbean,Americas,2018-05-29,2018-06-02
Storm,Cuba,Latin America and the Caribbean,Americas,2018-10-10,2018-10-11
Storm,Cuba,Latin America and the Caribbean,Americas,2019-01-27,2019-01-28
Storm,Cuba,Latin America and the Caribbean,Americas,2020-05-25,2020-05-26
Storm,Cuba,Latin America and the Caribbean,Americas,2020-07-31,2020-08-02
Storm,Cuba,Latin America and the Caribbean,Americas,2021-07-02,2021-07-03
Storm,Cuba,Latin America and the Caribbean,Americas,2021-08-28,2021-09-02
Flood,Cuba,Latin America and the Caribbean,Americas,2022-06-02,2022-06-06
Storm,Cuba,Latin America and the Caribbean,Americas,2022-06-02,2022-06-03
Storm,Cuba,Latin America and the Caribbean,Americas,2022-09-26,2022-09-28
Flood,Cuba,Latin America and the Caribbean,Americas,2023-06-08,2023-06-10
Storm,Cuba,Latin America and the Caribbean,Americas,2023-08-28,2023-08-29
Storm,Cuba,Latin America and the Caribbean,Americas,2024-03-22,2024-03-25
Storm,Cuba,Latin America and the Caribbean,Americas,2024-09-27,2024-09-28
Storm,Cuba,Latin America and the Caribbean,Americas,2024-10-20,2024-10-21
Storm,Cuba,Latin America and the Caribbean,Americas,2024-11-06,2024-11-07
Earthquake,Cuba,Latin America and the Caribbean,Americas,2024-11-10,2024-11-10
