Disaster_Type,Country,Subregion,Region,Start Date,End Date
Wildfire,Türkiye,Western Asia,Asia,2000-04-05,2000-04-05
Earthquake,Türkiye,Western Asia,Asia,2000-05-07,2000-05-07
Flood,Türkiye,Western Asia,Asia,2000-05-27,2000-05-27
Earthquake,Türkiye,Western Asia,Asia,2000-06-06,2000-06-06
Extreme_temperature,Türkiye,Western Asia,Asia,2000-06-21,2000-07-15
Wildfire,Türkiye,Western Asia,Asia,2000-07-10,2000-07-09
Flood,Türkiye,Western Asia,Asia,2001-03-08,2001-03-08
Flood,Türkiye,Western Asia,Asia,2001-05-07,2001-05-08
Earthquake,Türkiye,Western Asia,Asia,2001-06-25,2001-06-25
Mass_movement_wet,Türkiye,Western Asia,Asia,2001-11-10,2001-11-10
Flood,Türkiye,Western Asia,Asia,2001-12-02,2001-12-09
Extreme_temperature,Türkiye,Western Asia,Asia,2001-12-17,2001-12-17
Earthquake,Türkiye,Western Asia,Asia,2001-07-10,2001-07-10
Earthquake,Türkiye,Western Asia,Asia,2002-02-03,2002-02-03
Flood,Türkiye,Western Asia,Asia,2002-07-23,2002-07-27
Storm,Türkiye,Western Asia,Asia,2002-12-20,2002-12-20
Earthquake,Türkiye,Western Asia,Asia,2003-01-27,2003-01-27
Earthquake,Türkiye,Western Asia,Asia,2003-05-01,2003-05-01
Earthquake,Türkiye,Western Asia,Asia,2003-07-26,2003-07-26
Earthquake,Türkiye,Western Asia,Asia,2003-04-10,2003-04-10
Extreme_temperature,Türkiye,Western Asia,Asia,2004-01-09,2004-01-10
Storm,Türkiye,Western Asia,Asia,2004-01-22,2004-01-25
Flood,Türkiye,Western Asia,Asia,2004-03-05,2004-03-09
Earthquake,Türkiye,Western Asia,Asia,2004-03-25,2004-03-25
Earthquake,Türkiye,Western Asia,Asia,2004-03-28,2004-03-28
Storm,Türkiye,Western Asia,Asia,2004-06-19,2004-06-19
Earthquake,Türkiye,Western Asia,Asia,2004-07-01,2004-07-01
Flood,Türkiye,Western Asia,Asia,2004-08-16,2004-08-17
Storm,Türkiye,Western Asia,Asia,2004-11-21,2004-11-22
Storm,Türkiye,Western Asia,Asia,2005-01-01,2005-04-01
Earthquake,Türkiye,Western Asia,Asia,2005-01-25,2005-01-25
Mass_movement_wet,Türkiye,Western Asia,Asia,2005-03-17,2005-03-17
Earthquake,Türkiye,Western Asia,Asia,2005-03-14,2005-03-14
Earthquake,Türkiye,Western Asia,Asia,2005-06-06,2005-06-06
Flood,Türkiye,Western Asia,Asia,2005-07-04,2005-07-04
Flood,Türkiye,Western Asia,Asia,2005-08-02,2005-08-03
Extreme_temperature,Türkiye,Western Asia,Asia,2005-12-26,2006-02-06
Flood,Türkiye,Western Asia,Asia,2006-07-01,2006-07-03
Epidemic,Türkiye,Western Asia,Asia,2006-01-01,2006-08-04
Flood,Türkiye,Western Asia,Asia,2006-10-27,2006-11-07
Flood,Türkiye,Western Asia,Asia,2007-05-27,2007-06-01
Extreme_temperature,Türkiye,Western Asia,Asia,2007-06-21,2007-06-15
Flood,Türkiye,Western Asia,Asia,2007-08-03,2007-08-03
Flood,Türkiye,Western Asia,Asia,2007-11-16,2007-11-21
Wildfire,Türkiye,Western Asia,Asia,2008-08-01,2008-08-05
Mass_movement_wet,Türkiye,Western Asia,Asia,2009-01-25,2009-01-25
Flood,Türkiye,Western Asia,Asia,2009-07-10,2009-07-16
Flood,Türkiye,Western Asia,Asia,2009-09-07,2009-09-10
Earthquake,Türkiye,Western Asia,Asia,2010-03-08,2010-03-08
Mass_movement_wet,Türkiye,Western Asia,Asia,2010-08-27,2010-08-27
Earthquake,Türkiye,Western Asia,Asia,2011-05-19,2011-05-19
Earthquake,Türkiye,Western Asia,Asia,2011-10-23,2011-10-23
Earthquake,Türkiye,Western Asia,Asia,2011-11-09,2011-11-09
Flood,Türkiye,Western Asia,Asia,2012-07-04,2012-07-04
Earthquake,Türkiye,Western Asia,Asia,2014-05-24,2014-05-24
Flood,Türkiye,Western Asia,Asia,2015-01-30,2015-02-02
Earthquake,Türkiye,Western Asia,Asia,2017-07-21,2017-07-21
Storm,Türkiye,Western Asia,Asia,2017-07-27,2017-07-27
Mass_movement_wet,Türkiye,Western Asia,Asia,2018-07-08,2018-07-08
Flood,Türkiye,Western Asia,Asia,2019-06-18,2019-06-20
Flood,Türkiye,Western Asia,Asia,2019-07-17,2019-07-18
Flood,Türkiye,Western Asia,Asia,2019-08-17,2019-08-17
Earthquake,Türkiye,Western Asia,Asia,2019-09-26,2019-09-26
Storm,Türkiye,Western Asia,Asia,2020-01-07,2020-01-09
Earthquake,Türkiye,Western Asia,Asia,2020-01-24,2020-01-24
Mass_movement_wet,Türkiye,Western Asia,Asia,2020-02-04,2020-02-05
Earthquake,Türkiye,Western Asia,Asia,2020-02-23,2020-02-23
Earthquake,Türkiye,Western Asia,Asia,2020-06-14,2020-06-14
Flood,Türkiye,Western Asia,Asia,2020-06-11,2020-06-12
Earthquake,Türkiye,Western Asia,Asia,2020-06-25,2020-06-25
Flood,Türkiye,Western Asia,Asia,2020-06-21,2020-06-23
Earthquake,Türkiye,Western Asia,Asia,2020-10-30,2020-10-30
Flood,Türkiye,Western Asia,Asia,2020-08-22,2020-08-23
Wildfire,Türkiye,Western Asia,Asia,2021-07-28,2021-08-07
Flood,Türkiye,Western Asia,Asia,2021-07-21,2021-07-21
Flood,Türkiye,Western Asia,Asia,2021-08-10,2021-08-16
Flood,Türkiye,Western Asia,Asia,2022-06-11,2022-06-15
Earthquake,Türkiye,Western Asia,Asia,2022-11-23,2022-11-23
Flood,Türkiye,Western Asia,Asia,2022-12-11,2022-12-12
Earthquake,Türkiye,Western Asia,Asia,2023-02-06,2023-02-06
Earthquake,Türkiye,Western Asia,Asia,2023-02-20,2023-02-20
Earthquake,Türkiye,Western Asia,Asia,2023-02-27,2023-02-27
Flood,Türkiye,Western Asia,Asia,2023-03-14,2023-03-15
Storm,Türkiye,Western Asia,Asia,2023-04-20,2023-04-20
Flood,Türkiye,Western Asia,Asia,2023-09-06,2023-09-08
Storm,Türkiye,Western Asia,Asia,2023-11-18,2023-11-21
Storm,Türkiye,Western Asia,Asia,2023-11-26,2023-11-27
Flood,Türkiye,Western Asia,Asia,2024-02-12,2024-02-14
Wildfire,Türkiye,Western Asia,Asia,2024-08-13,2024-08-18
Earthquake,Türkiye,Western Asia,Asia,2024-10-16,2024-10-16
