Disaster_Type,Country,Subregion,Region,Start Date,End Date
Mass_movement_wet,Switzerland,Western Europe,Europe,2000-10-13,2000-10-13
Extreme_temperature,Switzerland,Western Europe,Europe,2001-12-13,2001-12-13
Storm,Switzerland,Western Europe,Europe,2002-10-27,2002-10-27
Mass_movement_wet,Switzerland,Western Europe,Europe,2002-11-14,2002-11-14
Storm,Switzerland,Western Europe,Europe,2003-01-02,2003-01-03
Extreme_temperature,Switzerland,Western Europe,Europe,2003-07-21,2003-07-25
Flood,Switzerland,Western Europe,Europe,2005-08-21,2005-08-26
Extreme_temperature,Switzerland,Western Europe,Europe,2005-12-27,2005-12-30
Storm,Switzerland,Western Europe,Europe,2006-03-17,2006-03-21
Flood,Switzerland,Western Europe,Europe,2006-07-26,2006-07-27
Storm,Switzerland,Western Europe,Europe,2007-01-17,2007-01-18
Storm,Switzerland,Western Europe,Europe,2007-01-23,2007-01-26
Flood,Switzerland,Western Europe,Europe,2007-08-08,2007-08-12
Storm,Switzerland,Western Europe,Europe,2009-07-23,2009-07-24
Storm,Switzerland,Western Europe,Europe,2010-02-28,2010-02-28
Extreme_temperature,Switzerland,Western Europe,Europe,2010-11-30,2010-12-01
Storm,Switzerland,Western Europe,Europe,2011-12-16,2011-12-16
Extreme_temperature,Switzerland,Western Europe,Europe,2012-02-07,2012-02-07
Extreme_temperature,Switzerland,Western Europe,Europe,2012-12-07,2012-12-31
Storm,Switzerland,Western Europe,Europe,2013-06-20,2013-06-21
Storm,Switzerland,Western Europe,Europe,2013-12-24,2013-12-24
Storm,Switzerland,Western Europe,Europe,2014-11-15,2014-11-15
Mass_movement_dry,Switzerland,Western Europe,Europe,2017-08-23,2017-08-23
Storm,Switzerland,Western Europe,Europe,2018-01-03,2018-01-04
Storm,Switzerland,Western Europe,Europe,2019-01-13,2019-01-15
Storm,Switzerland,Western Europe,Europe,2020-10-02,2020-10-03
Mass_movement_wet,Switzerland,Western Europe,Europe,2021-01-13,2021-01-31
Storm,Switzerland,Western Europe,Europe,2021-06-28,2021-06-29
Flood,Switzerland,Western Europe,Europe,2021-07-15,2021-07-16
Extreme_temperature,Switzerland,Western Europe,Europe,2022-05-30,2022-09-04
Mass_movement_wet,Switzerland,Western Europe,Europe,2023-02-04,2023-02-05
Extreme_temperature,Switzerland,Western Europe,Europe,2023-07-21,2023-08-25
Storm,Switzerland,Western Europe,Europe,2023-07-24,2023-07-25
Storm,Switzerland,Western Europe,Europe,2024-03-09,2024-03-10
