Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Iraq,Western Asia,Asia,2003-04-28,2003-06-29
Flood,Iraq,Western Asia,Asia,2006-02-04,2006-02-12
Flood,Iraq,Western Asia,Asia,2006-11-05,2006-11-07
Epidemic,Iraq,Western Asia,Asia,2007-08-14,2007-10-03
Epidemic,Iraq,Western Asia,Asia,2008-08-07,2008-11-27
Flood,Iraq,Western Asia,Asia,2008-09-10,2008-09-11
Flood,Iraq,Western Asia,Asia,2009-10-30,2009-11-02
Flood,Iraq,Western Asia,Asia,2011-04-22,2011-04-22
Flood,Iraq,Western Asia,Asia,2012-12-25,2012-12-26
Flood,Iraq,Western Asia,Asia,2013-11-18,2013-11-19
Epidemic,Iraq,Western Asia,Asia,2015-09-15,2015-10-31
Flood,Iraq,Western Asia,Asia,2015-10-28,2015-10-30
Earthquake,Iraq,Western Asia,Asia,2017-11-12,2017-11-12
Flood,Iraq,Western Asia,Asia,2018-11-22,2018-11-23
Flood,Iraq,Western Asia,Asia,2019-03-24,2019-04-02
Flood,Iraq,Western Asia,Asia,2020-03-18,2020-03-21
Flood,Iraq,Western Asia,Asia,2021-10-29,2021-10-30
Flood,Iraq,Western Asia,Asia,2021-12-16,2021-12-17
Drought,Iraq,Western Asia,Asia,2021-01-07,2023-08-30
Storm,Iraq,Western Asia,Asia,2022-05-01,2022-05-04
Storm,Iraq,Western Asia,Asia,2023-04-10,2023-04-14
Flood,Iraq,Western Asia,Asia,2024-03-18,2024-03-21
