Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Belgium,Western Europe,Europe,2002-01-27,2002-01-27
Flood,Belgium,Western Europe,Europe,2002-02-11,2002-02-11
Flood,Belgium,Western Europe,Europe,2002-08-26,2002-08-26
Storm,Belgium,Western Europe,Europe,2002-10-26,2002-10-28
Flood,Belgium,Western Europe,Europe,2003-01-01,2003-01-08
Extreme_temperature,Belgium,Western Europe,Europe,2003-08-01,2003-08-15
Flood,Belgium,Western Europe,Europe,2005-09-10,2005-09-11
Extreme_temperature,Belgium,Western Europe,Europe,2005-11-25,2005-11-26
Extreme_temperature,Belgium,Western Europe,Europe,2005-12-27,2005-12-30
Extreme_temperature,Belgium,Western Europe,Europe,2006-06-21,2006-07-23
Storm,Belgium,Western Europe,Europe,2007-01-18,2007-01-18
Storm,Belgium,Western Europe,Europe,2008-02-29,2008-03-01
Extreme_temperature,Belgium,Western Europe,Europe,2009-01-16,2009-01-19
Storm,Belgium,Western Europe,Europe,2010-02-28,2010-02-28
Flood,Belgium,Western Europe,Europe,2010-11-11,2010-11-15
Storm,Belgium,Western Europe,Europe,2010-12-23,2010-12-24
Storm,Belgium,Western Europe,Europe,2011-08-18,2011-08-18
Extreme_temperature,Belgium,Western Europe,Europe,2012-02-16,2012-02-19
Storm,Belgium,Western Europe,Europe,2013-12-04,2013-12-07
Storm,Belgium,Western Europe,Europe,2013-12-26,2013-12-26
Storm,Belgium,Western Europe,Europe,2014-06-08,2014-06-10
Extreme_temperature,Belgium,Western Europe,Europe,2015-06-30,2015-07-05
Flood,Belgium,Western Europe,Europe,2016-06-02,2016-06-08
Storm,Belgium,Western Europe,Europe,2016-06-23,2016-06-24
Storm,Belgium,Western Europe,Europe,2018-01-17,2018-01-18
Extreme_temperature,Belgium,Western Europe,Europe,2018-07-21,2018-07-25
Extreme_temperature,Belgium,Western Europe,Europe,2019-06-21,2020-07-01
Extreme_temperature,Belgium,Western Europe,Europe,2019-07-19,2019-07-27
Extreme_temperature,Belgium,Western Europe,Europe,2019-08-23,2019-08-29
Storm,Belgium,Western Europe,Europe,2020-02-09,2020-02-09
Extreme_temperature,Belgium,Western Europe,Europe,2020-08-05,2020-08-08
Flood,Belgium,Western Europe,Europe,2021-07-14,2021-07-15
Storm,Belgium,Western Europe,Europe,2021-07-24,2021-07-25
Storm,Belgium,Western Europe,Europe,2021-10-21,2021-10-22
Storm,Belgium,Western Europe,Europe,2022-02-18,2022-02-18
Extreme_temperature,Belgium,Western Europe,Europe,2022-05-30,2022-09-04
Extreme_temperature,Belgium,Western Europe,Europe,2023-07-21,2023-08-25
Storm,Belgium,Western Europe,Europe,2023-11-02,2023-11-03
Flood,Belgium,Western Europe,Europe,2023-11-06,2023-11-10
