Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,Serbia,Southern Europe,Europe,2007-07-16,2007-07-24
Flood,Serbia,Southern Europe,Europe,2007-11-25,2007-11-29
Extreme_temperature,Serbia,Southern Europe,Europe,2009-01-15,2009-01-15
Flood,Serbia,Southern Europe,Europe,2009-11-06,2009-11-07
Extreme_temperature,Serbia,Southern Europe,Europe,2010-01-28,2010-01-28
Flood,Serbia,Southern Europe,Europe,2010-03-01,2010-03-02
Flood,Serbia,Southern Europe,Europe,2010-05-17,2010-05-17
Earthquake,Serbia,Southern Europe,Europe,2010-11-03,2010-11-03
Flood,Serbia,Southern Europe,Europe,2010-12-03,2010-12-03
Extreme_temperature,Serbia,Southern Europe,Europe,2010-12-19,2010-12-30
Extreme_temperature,Serbia,Southern Europe,Europe,2012-01-06,2012-02-15
Extreme_temperature,Serbia,Southern Europe,Europe,2012-01-28,2012-02-11
Extreme_temperature,Serbia,Southern Europe,Europe,2012-12-07,2012-12-31
Flood,Serbia,Southern Europe,Europe,2013-02-24,2013-02-26
Flood,Serbia,Southern Europe,Europe,2013-03-14,2013-03-14
Extreme_temperature,Serbia,Southern Europe,Europe,2014-01-28,2014-02-02
Flood,Serbia,Southern Europe,Europe,2014-04-16,2014-04-17
Flood,Serbia,Southern Europe,Europe,2014-05-13,2014-05-20
Flood,Serbia,Southern Europe,Europe,2014-08-06,2014-08-06
Flood,Serbia,Southern Europe,Europe,2014-09-15,2014-09-16
Flood,Serbia,Southern Europe,Europe,2016-03-06,2016-03-07
Flood,Serbia,Southern Europe,Europe,2016-11-07,2016-11-07
Extreme_temperature,Serbia,Southern Europe,Europe,2017-01-20,2017-01-20
Flood,Serbia,Southern Europe,Europe,2018-06-25,2018-06-30
Flood,Serbia,Southern Europe,Europe,2019-06-02,2019-06-07
Flood,Serbia,Southern Europe,Europe,2020-06-22,2020-06-23
Flood,Serbia,Southern Europe,Europe,2021-01-11,2021-01-12
Extreme_temperature,Serbia,Southern Europe,Europe,2022-05-30,2022-09-04
Flood,Serbia,Southern Europe,Europe,2023-01-18,2023-01-20
Flood,Serbia,Southern Europe,Europe,2023-06-04,2023-06-16
Extreme_temperature,Serbia,Southern Europe,Europe,2023-07-18,2023-08-22
Storm,Serbia,Southern Europe,Europe,2023-07-18,2023-07-19
Storm,Serbia,Southern Europe,Europe,2023-07-21,2023-07-25
