Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Madagascar,Sub-Saharan Africa,Africa,2000-02-17,2000-03-11
Storm,Madagascar,Sub-Saharan Africa,Africa,2000-04-02,2000-04-02
Drought,Madagascar,Sub-Saharan Africa,Africa,2000-06-07,2000-08-31
Storm,Madagascar,Sub-Saharan Africa,Africa,2002-01-02,2002-01-02
Storm,Madagascar,Sub-Saharan Africa,Africa,2002-03-09,2002-03-11
Storm,Madagascar,Sub-Saharan Africa,Africa,2002-05-09,2002-05-09
Epidemic,Madagascar,Sub-Saharan Africa,Africa,2002-07-04,2002-08-29
Drought,Madagascar,Sub-Saharan Africa,Africa,2002-11-01,2004-07-31
Flood,Madagascar,Sub-Saharan Africa,Africa,2003-01-18,2003-01-31
Storm,Madagascar,Sub-Saharan Africa,Africa,2003-01-29,2003-01-29
Storm,Madagascar,Sub-Saharan Africa,Africa,2003-05-08,2003-05-08
Storm,Madagascar,Sub-Saharan Africa,Africa,2003-12-09,2003-12-09
Storm,Madagascar,Sub-Saharan Africa,Africa,2004-01-26,2004-02-04
Storm,Madagascar,Sub-Saharan Africa,Africa,2004-03-07,2004-03-12
Storm,Madagascar,Sub-Saharan Africa,Africa,2005-01-22,2005-01-23
Flood,Madagascar,Sub-Saharan Africa,Africa,2005-03-02,2005-03-15
Flood,Madagascar,Sub-Saharan Africa,Africa,2005-03-24,2005-03-26
Drought,Madagascar,Sub-Saharan Africa,Africa,2005-11-01,2006-12-31
Storm,Madagascar,Sub-Saharan Africa,Africa,2006-02-04,2006-02-04
Storm,Madagascar,Sub-Saharan Africa,Africa,2006-12-25,2006-12-25
Storm,Madagascar,Sub-Saharan Africa,Africa,2007-01-03,2007-01-03
Flood,Madagascar,Sub-Saharan Africa,Africa,2007-02-08,2007-02-08
Storm,Madagascar,Sub-Saharan Africa,Africa,2007-03-15,2007-03-17
Storm,Madagascar,Sub-Saharan Africa,Africa,2007-04-04,2007-04-04
Storm,Madagascar,Sub-Saharan Africa,Africa,2008-01-27,2008-01-27
Storm,Madagascar,Sub-Saharan Africa,Africa,2008-02-17,2008-03-03
Storm,Madagascar,Sub-Saharan Africa,Africa,2008-03-05,2008-03-06
Epidemic,Madagascar,Sub-Saharan Africa,Africa,2008-01-10,2008-06-29
Storm,Madagascar,Sub-Saharan Africa,Africa,2009-01-19,2009-01-22
Storm,Madagascar,Sub-Saharan Africa,Africa,2009-03-17,2009-03-27
Storm,Madagascar,Sub-Saharan Africa,Africa,2009-04-06,2009-04-06
Epidemic,Madagascar,Sub-Saharan Africa,Africa,2009-10-11,2010-02-15
Storm,Madagascar,Sub-Saharan Africa,Africa,2010-03-10,2010-03-12
Infestation,Madagascar,Sub-Saharan Africa,Africa,2010-10-01,2011-05-31
Storm,Madagascar,Sub-Saharan Africa,Africa,2011-02-14,2011-02-16
Storm,Madagascar,Sub-Saharan Africa,Africa,2012-01-24,2012-01-24
Storm,Madagascar,Sub-Saharan Africa,Africa,2012-02-14,2012-02-15
Storm,Madagascar,Sub-Saharan Africa,Africa,2012-02-26,2012-02-26
Storm,Madagascar,Sub-Saharan Africa,Africa,2013-01-30,2013-02-02
Storm,Madagascar,Sub-Saharan Africa,Africa,2013-02-22,2013-02-22
Epidemic,Madagascar,Sub-Saharan Africa,Africa,2013-10-05,2014-01-13
Storm,Madagascar,Sub-Saharan Africa,Africa,2014-03-29,2014-04-01
Drought,Madagascar,Sub-Saharan Africa,Africa,2014-11-01,2015-02-28
Storm,Madagascar,Sub-Saharan Africa,Africa,2015-01-16,2015-01-17
Flood,Madagascar,Sub-Saharan Africa,Africa,2015-02-27,2015-02-27
Storm,Madagascar,Sub-Saharan Africa,Africa,2015-02-07,2015-02-08
Drought,Madagascar,Sub-Saharan Africa,Africa,2016-01-01,2017-01-31
Storm,Madagascar,Sub-Saharan Africa,Africa,2017-03-07,2017-03-10
Epidemic,Madagascar,Sub-Saharan Africa,Africa,2017-08-19,2017-11-26
Drought,Madagascar,Sub-Saharan Africa,Africa,2017-01-01,2018-12-31
Storm,Madagascar,Sub-Saharan Africa,Africa,2018-01-05,2018-01-08
Storm,Madagascar,Sub-Saharan Africa,Africa,2018-03-14,2018-03-20
Epidemic,Madagascar,Sub-Saharan Africa,Africa,2018-10-04,2019-01-07
Flood,Madagascar,Sub-Saharan Africa,Africa,2019-01-19,2019-01-20
Storm,Madagascar,Sub-Saharan Africa,Africa,2019-03-15,2019-03-15
Storm,Madagascar,Sub-Saharan Africa,Africa,2019-12-09,2019-12-10
Flood,Madagascar,Sub-Saharan Africa,Africa,2020-01-01,2020-01-24
Storm,Madagascar,Sub-Saharan Africa,Africa,2020-03-13,2020-03-17
Storm,Madagascar,Sub-Saharan Africa,Africa,2021-01-23,2021-01-23
Flood,Madagascar,Sub-Saharan Africa,Africa,2021-02-18,2021-02-22
Flood,Madagascar,Sub-Saharan Africa,Africa,2022-01-17,2022-01-18
Storm,Madagascar,Sub-Saharan Africa,Africa,2022-01-22,2022-01-25
Storm,Madagascar,Sub-Saharan Africa,Africa,2022-02-05,2022-02-07
Storm,Madagascar,Sub-Saharan Africa,Africa,2022-02-15,2022-02-16
Storm,Madagascar,Sub-Saharan Africa,Africa,2022-02-23,2022-02-24
Storm,Madagascar,Sub-Saharan Africa,Africa,2022-03-11,2022-03-12
Storm,Madagascar,Sub-Saharan Africa,Africa,2022-04-26,2022-04-27
Storm,Madagascar,Sub-Saharan Africa,Africa,2023-01-19,2023-01-23
Storm,Madagascar,Sub-Saharan Africa,Africa,2023-02-21,2023-03-04
Storm,Madagascar,Sub-Saharan Africa,Africa,2024-01-01,2024-01-02
Storm,Madagascar,Sub-Saharan Africa,Africa,2024-03-26,2024-03-29
Mass_movement_dry,Madagascar,Sub-Saharan Africa,Africa,2024-11-12,2024-11-12
