Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,El Salvador,Latin America and the Caribbean,Americas,2000-09-05,2000-09-09
Storm,El Salvador,Latin America and the Caribbean,Americas,2000-10-01,2000-10-01
Epidemic,El Salvador,Latin America and the Caribbean,Americas,2000-09-14,2000-09-14
Earthquake,El Salvador,Latin America and the Caribbean,Americas,2001-01-13,2001-01-13
Earthquake,El Salvador,Latin America and the Caribbean,Americas,2001-02-13,2001-02-13
Flood,El Salvador,Latin America and the Caribbean,Americas,2001-09-18,2001-09-21
Drought,El Salvador,Latin America and the Caribbean,Americas,2001-05-01,2001-06-23
Flood,El Salvador,Latin America and the Caribbean,Americas,2002-05-23,2002-06-05
Epidemic,El Salvador,Latin America and the Caribbean,Americas,2002-01-01,2002-07-06
Storm,El Salvador,Latin America and the Caribbean,Americas,2002-09-21,2002-09-21
Epidemic,El Salvador,Latin America and the Caribbean,Americas,2003-06-21,2003-07-19
Earthquake,El Salvador,Latin America and the Caribbean,Americas,2005-05-05,2005-05-05
Flood,El Salvador,Latin America and the Caribbean,Americas,2005-06-24,2005-06-27
Storm,El Salvador,Latin America and the Caribbean,Americas,2005-10-01,2005-10-13
Volcanic_activity,El Salvador,Latin America and the Caribbean,Americas,2005-10-01,2005-10-01
Flood,El Salvador,Latin America and the Caribbean,Americas,2005-10-03,2005-10-03
Storm,El Salvador,Latin America and the Caribbean,Americas,2005-05-19,2005-05-19
Earthquake,El Salvador,Latin America and the Caribbean,Americas,2006-12-17,2006-12-17
Extreme_temperature,El Salvador,Latin America and the Caribbean,Americas,2006-11-11,2006-11-22
Storm,El Salvador,Latin America and the Caribbean,Americas,2007-09-04,2007-09-04
Flood,El Salvador,Latin America and the Caribbean,Americas,2007-10-12,2007-10-26
Flood,El Salvador,Latin America and the Caribbean,Americas,2008-07-03,2008-07-03
Flood,El Salvador,Latin America and the Caribbean,Americas,2008-10-16,2008-10-16
Storm,El Salvador,Latin America and the Caribbean,Americas,2009-11-07,2009-11-09
Epidemic,El Salvador,Latin America and the Caribbean,Americas,2009-01-15,2009-11-14
Drought,El Salvador,Latin America and the Caribbean,Americas,2009-01-01,2009-12-31
Storm,El Salvador,Latin America and the Caribbean,Americas,2010-05-29,2010-06-01
Storm,El Salvador,Latin America and the Caribbean,Americas,2010-06-27,2010-06-27
Storm,El Salvador,Latin America and the Caribbean,Americas,2010-09-25,2010-09-25
Flood,El Salvador,Latin America and the Caribbean,Americas,2011-09-15,2011-10-17
Volcanic_activity,El Salvador,Latin America and the Caribbean,Americas,2013-12-29,2013-12-29
Epidemic,El Salvador,Latin America and the Caribbean,Americas,2014-04-15,2014-10-14
Drought,El Salvador,Latin America and the Caribbean,Americas,2015-04-01,2016-12-26
Storm,El Salvador,Latin America and the Caribbean,Americas,2015-05-02,2015-05-04
Flood,El Salvador,Latin America and the Caribbean,Americas,2015-09-22,2015-09-29
Storm,El Salvador,Latin America and the Caribbean,Americas,2017-10-05,2017-10-06
Earthquake,El Salvador,Latin America and the Caribbean,Americas,2018-05-06,2018-05-06
Flood,El Salvador,Latin America and the Caribbean,Americas,2018-10-06,2018-10-11
Drought,El Salvador,Latin America and the Caribbean,Americas,2018-06-01,2019-03-31
Earthquake,El Salvador,Latin America and the Caribbean,Americas,2019-05-30,2019-05-30
Epidemic,El Salvador,Latin America and the Caribbean,Americas,2019-01-14,2019-09-18
Storm,El Salvador,Latin America and the Caribbean,Americas,2020-05-31,2020-05-31
Mass_movement_wet,El Salvador,Latin America and the Caribbean,Americas,2020-10-29,2020-10-29
Storm,El Salvador,Latin America and the Caribbean,Americas,2020-11-02,2020-11-04
Storm,El Salvador,Latin America and the Caribbean,Americas,2020-11-17,2020-11-18
Flood,El Salvador,Latin America and the Caribbean,Americas,2021-09-10,2021-09-14
Storm,El Salvador,Latin America and the Caribbean,Americas,2022-07-02,2022-07-02
Storm,El Salvador,Latin America and the Caribbean,Americas,2022-10-10,2022-10-11
Storm,El Salvador,Latin America and the Caribbean,Americas,2023-10-30,2023-11-02
Storm,El Salvador,Latin America and the Caribbean,Americas,2024-06-15,2024-06-24
Storm,El Salvador,Latin America and the Caribbean,Americas,2024-11-15,2024-11-16
