Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Myanmar,South-eastern Asia,Asia,2001-06-02,2001-06-02
Flood,Myanmar,South-eastern Asia,Asia,2002-08-15,2002-08-15
Storm,Myanmar,South-eastern Asia,Asia,2004-05-19,2004-05-19
Earthquake,Myanmar,South-eastern Asia,Asia,2004-12-26,2004-12-26
Mass_movement_wet,Myanmar,South-eastern Asia,Asia,2005-09-14,2005-09-15
Storm,Myanmar,South-eastern Asia,Asia,2006-04-29,2006-05-05
Flood,Myanmar,South-eastern Asia,Asia,2006-09-15,2006-10-19
Flood,Myanmar,South-eastern Asia,Asia,2007-06-11,2007-06-11
Flood,Myanmar,South-eastern Asia,Asia,2007-05-03,2007-05-09
Epidemic,Myanmar,South-eastern Asia,Asia,2007-07-01,2007-07-20
Flood,Myanmar,South-eastern Asia,Asia,2007-07-06,2007-07-11
Flood,Myanmar,South-eastern Asia,Asia,2007-08-14,2007-08-29
Storm,Myanmar,South-eastern Asia,Asia,2008-05-02,2008-05-03
Mass_movement_wet,Myanmar,South-eastern Asia,Asia,2009-07-04,2009-07-04
Mass_movement_wet,Myanmar,South-eastern Asia,Asia,2010-06-17,2010-06-17
Storm,Myanmar,South-eastern Asia,Asia,2010-10-22,2010-10-22
Earthquake,Myanmar,South-eastern Asia,Asia,2011-03-24,2011-03-24
Flood,Myanmar,South-eastern Asia,Asia,2011-10-19,2011-10-21
Flood,Myanmar,South-eastern Asia,Asia,2012-07-15,2012-08-29
Earthquake,Myanmar,South-eastern Asia,Asia,2012-11-11,2012-11-11
Mass_movement_wet,Myanmar,South-eastern Asia,Asia,2013-05-03,2013-05-03
Flood,Myanmar,South-eastern Asia,Asia,2013-07-25,2013-08-07
Flood,Myanmar,South-eastern Asia,Asia,2014-09-17,2014-09-17
Flood,Myanmar,South-eastern Asia,Asia,2014-08-15,2014-08-15
Storm,Myanmar,South-eastern Asia,Asia,2015-04-04,2015-04-05
Flood,Myanmar,South-eastern Asia,Asia,2015-06-23,2015-06-30
Flood,Myanmar,South-eastern Asia,Asia,2015-07-15,2015-08-19
Mass_movement_wet,Myanmar,South-eastern Asia,Asia,2015-10-09,2015-10-09
Mass_movement_wet,Myanmar,South-eastern Asia,Asia,2015-10-11,2015-10-11
Flood,Myanmar,South-eastern Asia,Asia,2015-10-08,2015-10-08
Storm,Myanmar,South-eastern Asia,Asia,2016-04-21,2016-04-23
Storm,Myanmar,South-eastern Asia,Asia,2016-04-29,2016-05-03
Mass_movement_wet,Myanmar,South-eastern Asia,Asia,2016-05-23,2016-05-23
Flood,Myanmar,South-eastern Asia,Asia,2016-06-01,2016-06-24
Flood,Myanmar,South-eastern Asia,Asia,2016-07-15,2016-08-16
Earthquake,Myanmar,South-eastern Asia,Asia,2016-08-24,2016-08-24
Epidemic,Myanmar,South-eastern Asia,Asia,2016-08-22,2016-08-22
Storm,Myanmar,South-eastern Asia,Asia,2017-06-01,2017-06-09
Flood,Myanmar,South-eastern Asia,Asia,2017-07-02,2017-07-25
Mass_movement_dry,Myanmar,South-eastern Asia,Asia,2018-05-04,2018-05-04
Flood,Myanmar,South-eastern Asia,Asia,2018-06-05,2018-06-14
Mass_movement_wet,Myanmar,South-eastern Asia,Asia,2018-07-15,2018-07-15
Flood,Myanmar,South-eastern Asia,Asia,2018-07-15,2018-08-10
Flood,Myanmar,South-eastern Asia,Asia,2018-08-29,2018-08-31
Flood,Myanmar,South-eastern Asia,Asia,2019-07-14,2019-07-14
Mass_movement_wet,Myanmar,South-eastern Asia,Asia,2019-07-28,2019-07-28
Flood,Myanmar,South-eastern Asia,Asia,2019-08-08,2019-08-16
Mass_movement_wet,Myanmar,South-eastern Asia,Asia,2020-07-01,2020-07-02
Flood,Myanmar,South-eastern Asia,Asia,2020-07-19,2020-07-30
Flood,Myanmar,South-eastern Asia,Asia,2021-07-21,2021-07-29
Storm,Myanmar,South-eastern Asia,Asia,2023-04-21,2023-04-21
Storm,Myanmar,South-eastern Asia,Asia,2023-05-14,2023-05-15
Flood,Myanmar,South-eastern Asia,Asia,2023-08-03,2023-08-07
Mass_movement_wet,Myanmar,South-eastern Asia,Asia,2023-08-13,2023-08-13
Flood,Myanmar,South-eastern Asia,Asia,2023-10-05,2023-10-09
Flood,Myanmar,South-eastern Asia,Asia,2024-06-30,2024-08-02
Storm,Myanmar,South-eastern Asia,Asia,2024-09-08,2024-09-13
