Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Cambodia,South-eastern Asia,Asia,2000-07-11,2000-08-10
Flood,Cambodia,South-eastern Asia,Asia,2001-08-15,2001-11-19
Drought,Cambodia,South-eastern Asia,Asia,2001-09-01,2001-05-31
Flood,Cambodia,South-eastern Asia,Asia,2002-08-18,2002-11-26
Drought,Cambodia,South-eastern Asia,Asia,2002-01-01,2002-07-30
Flood,Cambodia,South-eastern Asia,Asia,2004-08-24,2004-10-21
Flood,Cambodia,South-eastern Asia,Asia,2005-09-08,2005-09-29
Drought,Cambodia,South-eastern Asia,Asia,2005-04-01,2005-04-26
Flood,Cambodia,South-eastern Asia,Asia,2006-07-06,2006-07-07
Flood,Cambodia,South-eastern Asia,Asia,2006-08-10,2006-11-01
Epidemic,Cambodia,South-eastern Asia,Asia,2007-07-01,2007-07-20
Flood,Cambodia,South-eastern Asia,Asia,2007-08-10,2007-08-24
Storm,Cambodia,South-eastern Asia,Asia,2009-09-29,2009-09-30
Storm,Cambodia,South-eastern Asia,Asia,2009-11-02,2009-11-03
Flood,Cambodia,South-eastern Asia,Asia,2010-10-20,2010-11-09
Flood,Cambodia,South-eastern Asia,Asia,2011-08-10,2011-11-01
Flood,Cambodia,South-eastern Asia,Asia,2012-09-17,2012-09-26
Flood,Cambodia,South-eastern Asia,Asia,2013-09-24,2013-10-14
Flood,Cambodia,South-eastern Asia,Asia,2014-07-30,2014-08-31
Flood,Cambodia,South-eastern Asia,Asia,2015-09-16,2015-09-16
Storm,Cambodia,South-eastern Asia,Asia,2015-09-19,2015-09-20
Drought,Cambodia,South-eastern Asia,Asia,2016-05-01,2016-05-23
Flood,Cambodia,South-eastern Asia,Asia,2018-07-23,2018-07-23
Flood,Cambodia,South-eastern Asia,Asia,2019-09-11,2019-09-20
Storm,Cambodia,South-eastern Asia,Asia,2020-10-01,2020-10-24
Storm,Cambodia,South-eastern Asia,Asia,2020-09-18,2020-09-21
Storm,Cambodia,South-eastern Asia,Asia,2021-04-16,2021-04-22
Flood,Cambodia,South-eastern Asia,Asia,2021-09-15,2021-09-17
Flood,Cambodia,South-eastern Asia,Asia,2021-10-12,2021-10-15
Flood,Cambodia,South-eastern Asia,Asia,2021-10-25,2021-10-27
Storm,Cambodia,South-eastern Asia,Asia,2022-09-28,2022-09-29
Flood,Cambodia,South-eastern Asia,Asia,2022-09-01,2022-10-13
Storm,Cambodia,South-eastern Asia,Asia,2023-04-14,2023-04-16
