Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Belize,Latin America and the Caribbean,Americas,2000-09-30,2000-10-03
Storm,Belize,Latin America and the Caribbean,Americas,2001-10-08,2001-10-11
Storm,Belize,Latin America and the Caribbean,Americas,2001-08-21,2001-08-21
Storm,Belize,Latin America and the Caribbean,Americas,2005-10-21,2005-10-21
Storm,Belize,Latin America and the Caribbean,Americas,2005-11-14,2005-11-21
Storm,Belize,Latin America and the Caribbean,Americas,2007-08-21,2007-08-21
Storm,Belize,Latin America and the Caribbean,Americas,2008-05-31,2008-06-05
Flood,Belize,Latin America and the Caribbean,Americas,2008-10-19,2008-11-12
Storm,Belize,Latin America and the Caribbean,Americas,2010-09-25,2010-09-25
Flood,Belize,Latin America and the Caribbean,Americas,2015-10-15,2015-10-19
Storm,Belize,Latin America and the Caribbean,Americas,2016-08-04,2016-08-04
Storm,Belize,Latin America and the Caribbean,Americas,2020-11-04,2020-11-04
Storm,Belize,Latin America and the Caribbean,Americas,2022-11-02,2022-11-03
Wildfire,Belize,Latin America and the Caribbean,Americas,2024-05-12,2024-05-13
Storm,Belize,Latin America and the Caribbean,Americas,2024-11-15,2024-11-18
