Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2001-10-04,2001-10-09
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2002-05-24,2002-06-07
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2003-04-16,2003-04-22
Earthquake,Dominican Republic,Latin America and the Caribbean,Americas,2003-09-22,2003-09-22
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2003-11-14,2003-11-14
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2003-12-06,2003-12-06
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2004-05-23,2004-06-01
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2004-09-02,2004-09-02
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2004-09-09,2004-09-09
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2004-09-16,2004-09-17
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2005-05-14,2005-05-14
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2005-10-22,2005-10-24
Wildfire,Dominican Republic,Latin America and the Caribbean,Americas,2005-03-11,2005-03-11
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2007-03-26,2007-03-30
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2007-05-30,2007-06-03
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2007-08-21,2007-08-24
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2007-10-28,2007-11-02
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2007-12-11,2007-12-17
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2008-08-18,2008-08-18
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2008-08-26,2008-08-26
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2008-09-03,2008-09-03
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2009-01-08,2009-01-16
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2009-02-02,2009-02-12
Epidemic,Dominican Republic,Latin America and the Caribbean,Americas,2009-01-15,2009-10-14
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2010-02-14,2010-02-15
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2010-07-15,2010-07-15
Epidemic,Dominican Republic,Latin America and the Caribbean,Americas,2010-12-15,2011-10-14
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2010-10-29,2010-10-29
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2011-06-14,2011-06-17
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2011-08-04,2011-08-04
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2011-08-24,2011-08-24
Epidemic,Dominican Republic,Latin America and the Caribbean,Americas,2011-12-07,2011-12-14
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2012-04-23,2012-04-25
Epidemic,Dominican Republic,Latin America and the Caribbean,Americas,2012-04-12,2012-04-16
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2012-05-07,2012-05-07
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2012-08-25,2012-08-25
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2012-10-24,2012-10-24
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2013-12-23,2013-12-25
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2014-11-03,2014-11-05
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2015-02-20,2015-02-24
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2015-08-28,2015-08-28
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2015-09-22,2015-09-29
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2016-05-07,2016-05-08
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2016-10-03,2016-10-04
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2016-11-07,2016-11-10
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2017-04-20,2017-04-23
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2017-09-06,2017-09-06
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2017-09-20,2017-09-20
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2018-07-09,2018-07-11
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2018-07-09,2018-07-11
Epidemic,Dominican Republic,Latin America and the Caribbean,Americas,2019-09-30,2019-09-30
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2020-07-31,2020-08-02
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2020-08-26,2020-08-27
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2021-07-03,2021-07-03
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2021-08-12,2021-08-13
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2022-02-10,2022-02-11
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2022-03-05,2022-03-06
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2022-09-19,2022-09-20
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2023-06-02,2023-06-09
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2023-08-20,2023-08-23
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2023-11-17,2023-11-18
Flood,Dominican Republic,Latin America and the Caribbean,Americas,2024-11-10,2024-11-12
Storm,Dominican Republic,Latin America and the Caribbean,Americas,2024-11-17,2024-11-18
