Disaster_Type,Country,Subregion,Region,Start Date,End Date
Mass_movement_wet,Austria,Western Europe,Europe,2000-03-28,2000-03-28
Storm,Austria,Western Europe,Europe,2000-05-27,2000-05-27
Flood,Austria,Western Europe,Europe,2002-08-12,2002-08-20
Storm,Austria,Western Europe,Europe,2002-10-27,2002-10-28
Storm,Austria,Western Europe,Europe,2002-11-14,2002-11-14
Extreme_temperature,Austria,Western Europe,Europe,2003-07-21,2003-08-25
Flood,Austria,Western Europe,Europe,2005-07-10,2005-07-12
Flood,Austria,Western Europe,Europe,2005-08-21,2005-08-26
Extreme_temperature,Austria,Western Europe,Europe,2005-12-27,2006-01-30
Flood,Austria,Western Europe,Europe,2006-03-28,2006-04-17
Storm,Austria,Western Europe,Europe,2007-01-17,2007-01-18
Extreme_temperature,Austria,Western Europe,Europe,2007-07-21,2007-07-25
Storm,Austria,Western Europe,Europe,2008-02-29,2008-03-02
Flood,Austria,Western Europe,Europe,2009-06-22,2009-06-28
Storm,Austria,Western Europe,Europe,2009-07-23,2009-07-24
Flood,Austria,Western Europe,Europe,2009-07-16,2009-07-19
Extreme_temperature,Austria,Western Europe,Europe,2009-12-18,2009-12-19
Extreme_temperature,Austria,Western Europe,Europe,2012-02-16,2012-02-19
Flood,Austria,Western Europe,Europe,2013-06-02,2013-06-03
Flood,Austria,Western Europe,Europe,2016-06-01,2016-06-01
Storm,Austria,Western Europe,Europe,2017-08-05,2017-08-09
Storm,Austria,Western Europe,Europe,2017-08-19,2017-08-19
Storm,Austria,Western Europe,Europe,2019-01-05,2019-01-16
Extreme_temperature,Austria,Western Europe,Europe,2019-07-24,2019-07-26
Flood,Austria,Western Europe,Europe,2021-07-17,2021-07-18
Extreme_temperature,Austria,Western Europe,Europe,2022-05-30,2022-09-04
Storm,Austria,Western Europe,Europe,2022-08-17,2022-08-18
Mass_movement_wet,Austria,Western Europe,Europe,2023-02-04,2023-02-05
Extreme_temperature,Austria,Western Europe,Europe,2023-07-21,2023-08-25
Storm,Austria,Western Europe,Europe,2024-09-15,2024-09-18
